Week,Day,,How to think,Best practices,Patterns,Anti pattern,Limitaciones
,,--- PREWORK ---,,,,,
,,### AI ENGINEERING COURSE INTRODUCTION ###,,,,,
0,1,"Skill: Familiarizarse con la plataforma de 4Geeks
Skill: Comprender cómo funciona internet",,,,,
,En Syllabus,"> Teoría: 
+ Introducción a 4Geeks Academy
  - Importancia del prework (crear nuevo)
  - Intro a la plataforma de 4Geeks.com (crear nuevo)
  - Breve intro a Github como perfil profesional en tecnología
    -- Importancia de conectar la cuenta de Github con la plataforma de 4Geeks.com

+ Herramientas a tu disposición en 4Geeks Academy
  - Intro a Slack
  - ¿Qué es LearnPack?
  - ¿Qué es Rigobot?
  - ¿Qué es Github Codespaces?

+ Consejos para estudiar con éxito en 4Geeks
  - ¿Cómo aprovechar al máximo el curso?
  - ¿Cómo pedir ayuda?




+ La Internet
  - ¿Qué es internet?
  - Funcionamiento: HTTP y sus verbos (GET, POST, PUT/PATCH, DELETE), Cliente - Servidor
  - Navegadores
  - Cómo funciona una web: frontend, backend - APIs, bases de datos, llamadas a APIs (HTTP)
  - Cómo se transmite una solicitud por Internet

","- Aprender cómo aprender en 4Geeks
- Conocer los componentes principales del proceso de aprendizaje en 4Geeks
- Conocer los medios y mecanismos para solicitar y obtener ayuda en 4Geeks
- Saber entregar proyectos en 4Geeks usando Git y Github
- Concientizar la necesidad del hábito de leer y atender a los detalles ",,,"- No pedir ayuda
- No investigar
- Esperar a que todo me lo expliquen
- No usar los canales de comunicación",- No IA
0,2,"Skill: Conocer los fundamentos de HTML, CSS y Git para entregar un primer proyecto",,,,,
,,"> Teoría: 

+ Introducción a HTML y CSS (Se dejará lo actual)

+ ¿Cómo entregar tus proyectos en 4Geeks? 
  (Esto ya existe pero requiere revisión: mejorar organización) 
  - Breve reseña sobre GitHub y Git, de forma poco técnica
  - (Esto no existe) Esenciales de Github y Git para entregar proyectos
    -- git add, git commit, git push","- Entender flujos (http es movimiento de información y hay un objetivo para ese movimiento, un flujo). Esto incluye , git, internet, algoritmos, etc.  
- Comprender los principales componentes de la comunicación en Internet
- Conocer los principales elementos de un sitio web
- Familiarizarse con algunos de los principales conceptos del programa de estudios",,,,- No IA
,En Syllabus,"> Proyecto:
  - Postcard (entregada en un repo)",,,,,
0,3/4,Skill: Conocer y aplicar los fundamentos de la programación,,,,,
,En Syllabus,"> Teoría:

+ Introducción a la programación (Javascript) (Referencia rápida a los conceptos)
  - Pensamiento lógico-matemático
  - Algoritmos
  - Variables
  - Condiciones
  - Bucles
  - Cómo representar listados en JavaScript (Arrays)
  - Cómo objetos en JavaScript (Literal Objects)","- Pensamiento lógico - matemático, algoritmos. 
- Concientizar la necesidad del hábito de leer y atender a los detalles 
- Reconocer la importancia de desarrollar la autonomía en la resolución de problemas",,"
- Plantear la solución antes que el código
- Divide y venceras. Dividir un problema grande en subproblemas más pequeños del mismo tipo, resolver cada uno, y luego combinar las soluciones.
- Clean code","Algoritmos: 
- Fijación en la Sintaxis: Centrarse únicamente en recordar la sintaxis del lenguaje de programación antes de tener una lógica clara.
- Pensamiento lineal: Intentar escribir toda la solución de una vez, de principio a fin, sin planificación.
- Aplicar correacciones por reacción a lo que aparece en la consola y no por análisis del código
- Test de Único Caso. Probar el algoritmo solo con el caso de ejemplo proporcionado, sin considerar casos límite (vacíos, negativos, máximos) o casos de borde.",- No IA
,En Syllabus,"> Practica:
  - Beginner JS (nuevo) ",,,,,
0,5,"Skill: Comprender cómo funciona la IA Generativa, los principales modelos y los distintos formatos para comunicarse",,,,,
,En Syllabus,"> Teoría:

+ Introducción a la IA generativa
  - ¿Qué es un LLM?
  - ¿Y cómo funciona la IA?
  - ¿Cuáles son las principales opciones (OpenAI ChatGPT, Google Gemini, Anthropic Claude, xAI Grok, Mistral LeChat...)?
  - Diferencias: Ventajas y desventajas entre modelos

+ Hablar en el lenguaje de la IA:
  - Markdown
  - JSON
  - YML
  - TOON  (nuevo formato, potencial de convertirse en tendencia)
","- Entender cómo funciona los modelos de IA generativa
- Desarrollar criterio para escoger entre un modelo u otro
- Comprender cómo desarrollar un buen contexto para la IA
- Reconocer la importancia de desarrollar la autonomía en la resolución de problemas",,,"- Tratar a todas las IAs por igual
- Escribir sin estructura ni formato
",- No IA
,Proyecto pendiente evaluación,"> Práctica:
  - Escribir una configuración en YML y JSON",,,,,
0,6,"Skill: Conocer los fundamentos de la AI Engineering y cómo funcionan los Coding Agents
",,,,,
,En Syllabus,"> Teoría:

+ Using Coding agents 
  - ¿Cómo funciona la IA en desarrollo?
  - Configuración básica de Coding Agent en Github Codespaces
  - Herramientas más conocidas: https://agents.4geeks.com/
  - Using LLMs
  - Token consumption, pricing, parameters

+ Fundamentos del AI Engineer
  - Programación asistida con IA
  - Human in the loop / Humanos en el proceso
  - Camino de menor resistencia
","- Entender cómo funcionan los Coding Agents
- Desarrollar criterio para escoger entre un modelo u otro
- Comprender cómo desarrollar un buen contexto para la IA
- Concientizar la necesidad del hábito de leer y atender a los detalles 
- Reconocer la importancia de desarrollar la autonomía en la resolución de problemas","
- Iterar vs crear de nuevo: vibecoding manifest
https://vibemanifesto.org/
",,,
,En Syllabus,"> Proyecto: 

+ Proyecto final: Excuse generator para imprimir por consola
  1. Pedir a Copilot que cree un fichero JS
  2. Pedir a Copilot que cree un array de quién
  3. Pedir a Copilot que cree un array de acción
  4. Pedir a Copilot que cree un array de qué
  5. Pedir a Copilot que cree un array de cuándo
  6. Pedir a Copilot que genere una línea de código para obtener un valor aleatorio del array quién, otro valor aleatorio del array acción y otro del array qué y el array cuándo
  7. Pedir a Copilot que concatene todos los valores obtenidos con un espacio en blanco de por medio y lo inserte en una variable
  8. Pedir a Copilot que inserte un console.log para imprimir el valor de la variable en la terminal.",,,,,"- No se imprime por html para reducir la complejidad con el tema del DOM, que los estudiantes se ponen a investigar porque no entienden por qué esos comandos"
,,--- CURSO ---,,,,,
,,### WEB UI FUNDAMENTALS WITH TAILWIND ###,,,,,
1,1,Skill: Desarrollar interfaces sencillas con HTML y CSS cumpliendo con normas de accesibilidad y principios de SEO/GEO,,,,,
